Task,Priority,Status,Category,Due Date,Notes
Define target market filter,Critical,Not started,Strategy,"May 6, 2026","Confirm target verticals, geographies, company sizes, and who the June website is meant to attract."
"Confirm platform, ownership, and scope",Critical,In progress,Technical,"May 6, 2026","Webflow direction, hosting and access expectations, point of contact, and approval path confirmed."
Confirm point of contact and approval path,Critical,In progress,Approvals,"May 6, 2026","Confirm Nathan as main point of contact, final approvers, and review turnaround expectations."
Build Why Stratum inputs,High,Not started,Content,"May 9, 2026","Write strategic claim, key reasons to choose Stratum, proof points, competitor or internal IT comparison points, and outcome examples."
Review migration and SEO preservation inputs,High,Not started,SEO,"May 9, 2026","URL audit, redirect logic, Search Console and analytics handover, and content migrate vs sunset decisions."
Gather trust badges and proof assets,High,Not started,Assets,"May 9, 2026","Collect Microsoft Partner status, certifications, insurance or compliance affiliations, industry recognitions, and logos."
Gather testimonials and case study inputs,High,Not started,Assets,"May 13, 2026","Identify 3-5 clients, confirm public naming, and capture short outcome-based stories."
Confirm hours-of-operation messaging,Medium,Not started,Content,"May 16, 2026",Decide business-hours only vs after-hours support and confirm the support expectation message.
Confirm content ownership after launch,Medium,Not started,Strategy,"May 20, 2026","Confirm LinkedIn and Instagram in-house, website copy ownership after launch, and whether Bananas supports anything beyond foundation work."
Confirm LLM and AI search direction,Medium,Not started,SEO,"May 20, 2026","Confirm LLM optimization from the start, FAQ-style content where needed, and schema and structure included in the build."
Plan photoshoot sequence,Low,Not started,Assets,"May 27, 2026","Plan shirts, office materials, shoot list, people, locations, and final image return to Bananas after branding is ready."