Milestone,Due Date,Milestone Group,Notes,Owner,Status
Approve launch-ready site and conversion flow,"June 6, 2026",Launch preparation,"Final review of pages, forms, CTA flow, analytics, and QA.",,Not started
Approve homepage and core page messaging,"May 14, 2026",Content development,"Finalize direction for Home, Managed IT, Cybersecurity, Business Systems, Industries, About, Contact, and Why Stratum.",,Not started
Confirm Webflow platform and ownership model,"April 30, 2026",Platform and ownership decisions,"Lock platform, domain ownership, DNS access, hosting, CMS admin, and analytics access.",,In progress
Approve service page architecture,"May 5, 2026",Sitemap and structure,Map the structure of each service page so Bannnanas can build in sequence.,,Not started
Review SEO migration and redirect plan,"May 22, 2026",SEO migration and redirects,"Inventory current URLs, decide migrate/refresh/sunset, and confirm redirect targets.",,Not started
Approve top navigation and site structure,"May 2, 2026",Sitemap and structure,Finalize main navigation and page hierarchy before design progresses.,,In progress
Complete first design review with Bannnanas,"May 20, 2026",Design review,Review homepage and core layouts against the brief and messaging.,,Not started
Define separate ecommerce architecture for http://shop.stratum.it,"July 18, 2026",September ecommerce planning,Keep ecommerce architecture and portal considerations out of the June critical path.,,Not started
Launch main Stratum website,"June 10, 2026",June website launch,Primary Phase 1 launch milestone.,,Not started
Finalize service catalog and target market filter,"May 12, 2026",Sitemap and structure,"Service list, dedicated page priorities, target verticals, geographies, and company sizes confirmed.",,Not started
Define ecommerce direction for http://shop.stratum.it,"August 1, 2026",September ecommerce planning,"Store direction, architecture, and separate app or store strategy defined for September phase.",,Not started
Phase 1 site ready for June launch push,"June 10, 2026",June website launch,"Main website positioned for launch with approvals, migration decisions, and required inputs delivered.",,Not started
Supply trust badges and proof assets,"May 12, 2026",Content development,"Microsoft status, certifications, affiliations, logos, and other trust inputs supplied to Bananas.",,Not started
"Confirm platform, ownership, and scope","May 6, 2026",Platform and ownership decisions,"Webflow direction, hosting and access expectations, point of contact, and approval path confirmed.",,In progress
Confirm hours messaging and launch setup inputs,"May 20, 2026",Launch preparation,"Hours-of-operation messaging, support positioning, CRM integration needs, and launch input decisions confirmed.",,Not started
Supply testimonials and Why Stratum inputs,"May 16, 2026",Content development,"3-5 testimonials or case studies plus strategic claim, proof points, and outcome examples delivered.",,Not started
Complete service discovery and page input package,"May 27, 2026",Content development,Discovery conversations completed and service page inputs ready for Bananas to produce the page set.,,Not started
Review migration and SEO preservation inputs,"May 9, 2026",SEO migration and redirects,"URL audit, redirect logic, Search Console and analytics handover, and content migrate vs sunset decisions.",,Not started